FORM ID,DATE START,DATE END,LOCATION ID,LOCATION NAME,COUNTRY NAME,EMERGENCY / POST-EMERGENCY,NUMBER OF PERSONS PER USABLE HANDPUMP / WELL / SPRING,NUMBER OF PERSONS PER USABLE WATER TAP,AVERAGE # LITERS OF POTABLE WATER AVAILABLE PER PERSON PER DAY,% WATER QUALITY TESTS AT NON CHLORINATED WATER COLLECTION LOCATIONS WITH 0 CFU/100ML,% OF WATER QUALITY TESTS AT CHLORINATED COLLECTION LOCATIONS WITH FRC IN THE RANGE 0.2-2MG/L AND TURBIDITY <5NTU5,NUMBER OF PERSONS PER TOILET/LATRINE,NUMBER OF PERSONS PER BATH SHELTER/SHOWER,NUMBER OF PERSONS PER HYGIENE PROMOTER,REFUGEE POPULATION,REPORTING PERIOD - MONTHLY INDICATOR,AVERAGE # L/P/D OF POTABLE WATER COLLECTED AT HOUSEHOLD LEVEL,% HOUSEHOLDS WITH AT LEAST 10 LITERS/PERSON POTABLE WATER STORAGE CAPACITY,% HOUSEHOLDS COLLECTING DRINKING WATER FROM PROTECTED/TREATED SOURCES,% HOUSEHOLDS WITH HOUSEHOLD TOILET/LATRINE,% HOUSEHOLDS REPORTING DEFECATING IN A TOILET,% HOUSEHOLDS WITH ACCESS TO SOAP,% HOUSEHOLDS WITH ACCESS TO SOLID WASTE DISPOSAL FACILITY,REPORTING PERIOD - ANNUAL INDICATOR
1154111,1/1/2019,12/31/2019,569,Kutupalong,Bangladesh,,,,,,,,,,,,,,,,,,,
623239,1/1/2019,12/31/2019,403,Za'atri,Jordan,,,,,,,,,,,,,,,,,,,
3292561,1/1/2019,12/31/2019,365,Tongogara,Zimbabwe,,,,,,,,,,,,15,65.5,100,32,73.4,88.5,55.7,5/1/2019
4876132,9/2/2019,9/29/2019,538,Adi Harush,Ethiopia,Post-emergency,,114,11,100,100,11,37,989,17805,9/1/2019,,,,,,,,
4876127,9/2/2019,9/29/2019,539,Aysaita,Ethiopia,Post-emergency,,110,20,100,100,21,45,3347,16735,9/1/2019,,,,,,,,
4876126,9/2/2019,9/29/2019,407,Barahle,Ethiopia,Post-emergency,,76,12,100,100,15,28,1011,13147,9/1/2019,,,,,,,,
4276716,9/2/2019,9/29/2019,533,Bokolmanyo,Ethiopia,Post-emergency,,139,16,,100,54,61,716,42981,9/1/2019,,,,,,,,
4276866,9/2/2019,9/29/2019,541,Buramino,Ethiopia,Post-emergency,,116,13,,100,44,73,1625,42271,9/1/2019,,,,,,,,
4276715,9/2/2019,9/29/2019,429,Dollo Ado Transit Centre,Ethiopia,Emergency,,,11,,,45,113,,907,9/1/2019,,,,,,,,
4285819,9/2/2019,9/29/2019,527,Fugnido,Ethiopia,Post-emergency,,69,19,,100,11,37,751,40595,9/1/2019,,,,,,,,
4285818,9/2/2019,9/29/2019,497,Fugnido 2,Ethiopia,Post-emergency,,48,20,,100,11,17,440,8807,9/1/2019,,,,,,,,
4276865,9/2/2019,9/29/2019,537,Hilaweyn,Ethiopia,Post-emergency,,148,13,,100,54,24,1671,51807,9/1/2019,,,,,,,,
4876129,9/2/2019,9/29/2019,435,Hitsats,Ethiopia,Post-emergency,6787,113,10,100,100,11,11,678,13574,9/1/2019,,,,,,,,
4285804,9/2/2019,9/29/2019,494,Jewi,Ethiopia,Post-emergency,,119,16,,100,10,26,907,54445,9/1/2019,,,,,,,,
4276864,9/2/2019,9/29/2019,536,Kobe,Ethiopia,Post-emergency,,163,19,,0,21,28,804,48275,9/1/2019,,,,,,,,
4285803,9/2/2019,9/29/2019,450,Kule,Ethiopia,Post-emergency,,132,13,,100,12,26,541,42774,9/1/2019,,,,,,,,
4876131,9/2/2019,9/29/2019,534,Mai Aini,Ethiopia,Post-emergency,,89,14,100,100,8,22,892,14275,9/1/2019,,,,,,,,
4276863,9/2/2019,9/29/2019,535,Melkadida,Ethiopia,Post-emergency,,122,22,,100,17,28,579,34784,9/1/2019,,,,,,,,
4285842,9/2/2019,9/29/2019,4015,Ngueyyiel,Ethiopia,Post-emergency,,136,10,,100,15,16,576,81872,9/1/2019,,,,,,,,
4598214,9/2/2019,9/29/2019,544,Okugo,Ethiopia,Post-emergency,,86,21,,100,17,,475,10465,9/1/2019,,,,,,,,
4876130,9/2/2019,9/29/2019,529,Shimelba,Ethiopia,Post-emergency,,90,15,100,100,6,19,439,7026,9/1/2019,,,,,,,,
4285820,9/2/2019,9/29/2019,546,Tierkidi,Ethiopia,Post-emergency,,195,9,,100,16,255,1105,60785,9/1/2019,,,,,,,,
3462066,9/2/2019,9/29/2019,403,Za'atri,Jordan,Post-emergency,,4,58,100,100,3,5,2600,78000,9/1/2019,,,,,,,,
4277613,9/2/2019,9/29/2019,313,Dzaleka,Malawi,Post-emergency,1028,72,6,,,8,14,152,43414,9/1/2019,,,,,,,,
4484622,9/2/2019,9/29/2019,644,Osire,Namibia,Post-emergency,7736,,23,100,,11,,,4470,9/1/2019,,,,,,,,
4869383,9/2/2019,9/29/2019,549,Imvepi,Uganda,Post-emergency,300,154,24,64,50,4,4,581,61017,9/1/2019,,,,,,,,
4869384,9/2/2019,9/29/2019,548,Rhino Camp,Uganda,Post-emergency,229,278,25,,,7,17,777,111221,9/1/2019,,,,,,,,
4188853,9/2/2019,9/29/2019,559,Rwamwanja,Uganda,Post-emergency,900,985,12,99,8,6,226,381,69372,9/1/2019,,,,,,,,
4822667,9/2/2019,9/29/2019,4067,Mantapala,Zambia,Post-emergency,249,125,22,100,50,6,5,297,14855,9/1/2019,,,,,,,,
3523339,7/29/2019,9/1/2019,463,Auserd,Algeria,Post-emergency,,61,7,100,100,5,4,642,18638,8/1/2019,,,,,,,,
3523312,7/29/2019,9/1/2019,464,Boujdour,Algeria,Post-emergency,,,21,100,100,5,4,331,9601,8/1/2019,,,,,,,,
3523468,7/29/2019,9/1/2019,465,Dakhla,Algeria,Post-emergency,,49,42,,100,5,4,374,10870,8/1/2019,,,,,,,,
3523460,7/29/2019,9/1/2019,466,Layounne,Algeria,Post-emergency,,,13,,100,5,5,1275,25503,8/1/2019,,,,,,,,
3430911,7/29/2019,9/1/2019,467,Smara,Algeria,Post-emergency,,98,19,,100,5,5,1493,25389,8/1/2019,,,,,,,,
3155172,7/29/2019,9/1/2019,209,Lunda Norte,Angola,Post-emergency,,91,12,,,5,,922,20287,8/1/2019,,,,,,,,
3428597,7/29/2019,9/1/2019,625,Minawao,Cameroon,Post-emergency,500,1094,14,45,5,26,27,724,59401,8/1/2019,,,,,,,,
3303528,7/29/2019,9/1/2019,572,Amboko,Chad,Post-emergency,484,,25,83,83,6,6,1855,11134,8/1/2019,,,,,,,,
3303529,7/29/2019,9/1/2019,573,Amnabak,Chad,Post-emergency,,310,12,100,100,12,12,4585,22929,8/1/2019,,,,,,,,
3308430,7/29/2019,9/1/2019,4284,Beakoro,Chad,Post-emergency,1100,,10,,,18,18,99,199,8/1/2019,,,,,,,,
3308428,7/29/2019,9/1/2019,4282,Bekan,Chad,Post-emergency,1125,,10,,,41,46,675,3376,8/1/2019,,,,,,,,
3304286,7/29/2019,9/1/2019,4277,Bekourou,Chad,Post-emergency,722,,16,,,24,26,288,1444,8/1/2019,,,,,,,,
3303545,7/29/2019,9/1/2019,600,Belom,Chad,Post-emergency,539,,29,100,100,7,6,4631,23157,8/1/2019,,,,,,,,
3303530,7/29/2019,9/1/2019,574,Bredjing,Chad,Post-emergency,,269,14,100,100,11,10,4843,48439,8/1/2019,,,,,,,,
3303527,7/29/2019,9/1/2019,484,Dar Es Salam,Chad,Post-emergency,410,,30,100,100,21,20,2457,12287,8/1/2019,,,,,,,,
3304284,7/29/2019,9/1/2019,4275,Dembo,Chad,Post-emergency,791,,15,,,33,33,632,3163,8/1/2019,,,,,,,,
