"FORM ID","DATE START","DATE END","LOCATION ID","LOCATION NAME","COUNTRY NAME","EMERGENCY / POST-EMERGENCY","NUMBER OF PERSONS PER USABLE HANDPUMP / WELL / SPRING","NUMBER OF PERSONS PER USABLE WATER TAP","AVERAGE # LITERS OF POTABLE WATER AVAILABLE PER PERSON PER DAY","% WATER QUALITY TESTS AT NON CHLORINATED WATER COLLECTION LOCATIONS WITH 0 CFU/100ML","% OF WATER QUALITY TESTS AT CHLORINATED COLLECTION LOCATIONS WITH FRC IN THE RANGE 0.2-2MG/L AND TURBIDITY <5NTU5","NUMBER OF PERSONS PER TOILET/LATRINE","NUMBER OF PERSONS PER BATH SHELTER/SHOWER","NUMBER OF PERSONS PER HYGIENE PROMOTER","REFUGEE POPULATION","REPORTING PERIOD - MONTHLY INDICATOR","AVERAGE # L/P/D OF POTABLE WATER COLLECTED AT HOUSEHOLD LEVEL","% HOUSEHOLDS WITH AT LEAST 10 LITERS/PERSON POTABLE WATER STORAGE CAPACITY","% HOUSEHOLDS COLLECTING DRINKING WATER FROM PROTECTED/TREATED SOURCES","% HOUSEHOLDS WITH HOUSEHOLD TOILET/LATRINE","% HOUSEHOLDS REPORTING DEFECATING IN A TOILET","% HOUSEHOLDS WITH ACCESS TO SOAP","% HOUSEHOLDS WITH ACCESS TO SOLID WASTE DISPOSAL FACILITY","REPORTING PERIOD - ANNUAL INDICATOR"
1154111,2019-01-01,2019-12-31,569,Kutupalong,Bangladesh,,,,,,,,,,,,,,,,,,,
623239,2019-01-01,2019-12-31,403,Za'atri,Jordan,,,,,,,,,,,,,,,,,,,
3292561,2019-01-01,2019-12-31,365,Tongogara,Zimbabwe,,,,,,,,,,,,15.00,65.50,100.00,32.00,73.40,88.50,55.70,2019-05-01
4876132,2019-09-02,2019-09-29,538,"Adi Harush",Ethiopia,Post-emergency,,114,11,100,100,11,37,989,17805,2019-09-01,,,,,,,,
4876127,2019-09-02,2019-09-29,539,Aysaita,Ethiopia,Post-emergency,,110,20,100,100,21,45,3347,16735,2019-09-01,,,,,,,,
4876126,2019-09-02,2019-09-29,407,Barahle,Ethiopia,Post-emergency,,76,12,100,100,15,28,1011,13147,2019-09-01,,,,,,,,
4276716,2019-09-02,2019-09-29,533,Bokolmanyo,Ethiopia,Post-emergency,,139,16,,100,54,61,716,42981,2019-09-01,,,,,,,,
4276866,2019-09-02,2019-09-29,541,Buramino,Ethiopia,Post-emergency,,116,13,,100,44,73,1625,42271,2019-09-01,,,,,,,,
4276715,2019-09-02,2019-09-29,429,"Dollo Ado Transit Centre",Ethiopia,Emergency,,,11,,,45,113,,907,2019-09-01,,,,,,,,
4285819,2019-09-02,2019-09-29,527,Fugnido,Ethiopia,Post-emergency,,69,19,,100,11,37,751,40595,2019-09-01,,,,,,,,
